nama,reviews,rating
jani,"Makanannya enak dan penyajiannya cukup cepat. Namun sayangnya pengalaman kami setelah bukber di sini sangat mengecewakan. Mobil kami digembok Dishub karena parkir di badan jalan, padahal kami parkir di situ karena diarahkan oleh tukang …",1 bintang
Yohanes E. W,"Cafe   dengan menu yang bermacam sajian yang menarik dan lezat tentunya. Pelayanan yang ramah dan suasana yang nyaman untuk menikmati hidangan sambil ngobrol bersama keluarga atau teman. Tapi waktu penyajiannya cukup memakan waktu, jika sedang ramai untuk 1 menu bisa menunggu 50 menit lebih,",5 bintang
Maraden Pangaribuan,"Tempatnya nyaman, pelayanan baik, waktu penyajian makanan perlu ditingkatkan lagi",5 bintang
Jefry Malobu,"Assalamualaikum selamat datang di lokal guide ini

■ tempat kongkow  bersama keluarga bisa …",4 bintang
Falah Putra Caesarianto (Putra),"Memutuskan datang ke sini setelah explore google review dan melihat foto-foto serta rating 4.7 dari 1200+ reviews. Setelah 3 hari dinas mendatangi beberapa cafe dan resto lain di Makassar namun mengalami kekecewaan, sehingga berharap bisa …",1 bintang
nur hikmah ramadani h,"Sdh beberapa kali dtg kesini krn suasana yg nyaman utk nongkrong.
Menu yg recommended disini ya soto betawi.
Nasi gorengnya enak-enak, cuma perlu diperhatikan lagi utk nasinya jgn sampai …",5 bintang
fiilky dwi sakti,Gak pernah bosan dengan vibes nya. Foodnya apalagi. Sup Jamurnya gak ada lawan. Our Fav food,5 bintang
lina widyawati,"Makanan enak suasana juga nyaman, cocok untuk kumpul keluargaa dan teman..ada ruang vip jugaa klo mau metting atau acara privat.. terimakasih goodfields recommended",5 bintang
Miss Paya,"Makanan lumayan enak, semua dimasak dg kematangan yg pas. Ga ada yg medok bumbunya jdi aman buat perut sensitif atau anak2. Soft ice cream juga enak.
Buat hangout sm temen, pas bgt. Ramai tpi masi bs ngobrol. Interiornya bagus n byk spot foto.",5 bintang
Hendhy Rahakbauw,"Pesan menu ice cream utk dessert, dibiarin menunggu sampe 1 jam lebih, semua waitress tiap ditanya pura2 sibuk ngecek. Bosan tanya 2-3x saya samperin, ternyata mesin eskrim sepertinya rusak/blom siap. Mau paksaa serving dalam keadaan encer. …",1 bintang
jani,"Makanannya enak dan penyajiannya cukup cepat. Namun sayangnya pengalaman kami setelah bukber di sini sangat mengecewakan. Mobil kami digembok Dishub karena parkir di badan jalan, padahal kami parkir di situ karena diarahkan oleh tukang parkir restorannya.

Selama kami berada di sana dari pukul 18.00–21.00 tidak ada pemberitahuan sama sekali dari pihak restoran bahwa mobil harus dipindahkan ke area parkir di dalam. Bahkan saat kami turun dari mobil pun tidak ada security atau tukang parkir yang memberi tahu bahwa kunci mobil bisa dititipkan.

Akibatnya kami harus menunggu sampai sekitar pukul 23.00 karena petugas Dishub baru datang saat itu. Kami sudah menyampaikan komplain ke pihak restoran, namun tidak ada bantuan ataupun permintaan maaf sama sekali.

Sangat disayangkan, padahal harga makanan di sini juga tidak murah. Minimal seharusnya ada pemberitahuan melalui speaker restoran agar pelanggan memindahkan mobilnya. Semoga ke depannya manajemennya bisa diperbaiki.",1 bintang
Jefry Malobu,"Assalamualaikum selamat datang di lokal guide ini

■ tempat kongkow  bersama keluarga bisa

■ ada tempat sholat di lantai 2 ( 2 ruangan )

■ tidak terlalu berisik

■ bagus untuk kopdar

■ HARGA pas buat tempat dan pelayanan

■ Parkir cukup lah , ok

Salam sehat dan sukses berberkah",4 bintang
