nama,reviews,rating
ekov_3,"Awalnya penasaran deket hotel kuk ramai sekali dimalam hari.
Saya coba datang moment breakfast dan mereka sudah buka . Tempatnya nyaman, luas parkiran juga cukup memadai. …",5 bintang
Siba Waihi,"Kopi & snack nya enak, tersedia makanan berat, parkir luas, live music nya keren",5 bintang
Alvia Fadliana,"Tempatnya sangat nyaman, tenang, relax.
sy order pizza, rasanya masuk banget di lidahku,
Minumnya pesen moccacino, sukaaaaaa bangeetttt, rasanya PAS banget🤍🤍🤍 Manisnya dapat, Pahitnya Dapat …",5 bintang
Jasmir Aly,"Sangat rekomended.
Dan pelayanannya sangat bagus.
Apalagi buat santai.",5 bintang
aisah ulfah Syam,Temptnya bagus makanan enak & ada live musiknya bagus,5 bintang
Sanisa Sanusi Rauf,"Cafe yg nyaman n cozy u menikmati makanan n minuman yg enak. Club sandwichx lezat, juga kopi gula arennya .Banyak varian makanan yg tersedia n kadang ada live music di hari tertentu.",5 bintang
Lidwina RA Sinaga,"Tempat favorite buat wfc. Kopi nya enak. Suasananya juga enak, apalagi kalau hujan, syahdu.
Tapi kalau pas ada nobar, suka rame jadi kesana pasti kalau nggak ada nobar.",5 bintang
an dwi,"Enak tempatnya bisa buat nobar juga. Lumayan rame pas malam minggu. Makanannya boleh juga, minuman juga oke. Pegawainya ramah juga bisa request macem-macem. Buka sampe dini hari jadi pas buat yg laper tengah malem",4 bintang
IKA Poltekpar Mks,"Cafe dengan suasana yang nyaman, makanan dan minuman nya cukup bervariasi.
Ruangannya ber AC tapi Boleh merokok
Harga cukup bersahabat untuk tempat sebagus ini, toilet bersih, ada mushola nya …",5 bintang
FX Martin,secara umum tempatnya enak utk ngobrol dan ngopi... cuma karena bebas merokok bagi yang tidak merokok agak terganggu.... apabila boleh saran sebaiknya ada ruangan utk merokok dan non-perokok agar nyaman semua nya....,3 bintang
